minute_utc,flow_count,rf_positive_count,n_features_psi_ge_025,max_psi,mean_psi,drift_alarm,status
2026-09-21T11:15:00Z,2810,2810,17,39.17526214267502,21.058369229543935,1,OK
2026-09-21T11:16:00Z,2809,2809,17,39.174906207448686,20.76838316566853,1,OK
2026-09-21T11:17:00Z,2810,2810,17,39.17526214267502,21.18589442978252,1,OK
2026-09-21T11:18:00Z,2811,2811,17,39.17561795125652,21.41483070862223,1,OK
2026-09-21T11:19:00Z,2814,2814,17,39.17668461803261,21.560947396008952,1,OK
2026-09-21T11:20:00Z,2811,2811,17,39.17561795125652,21.312323793911478,1,OK
2026-09-21T11:21:00Z,2806,2806,17,37.37413500751338,20.500140069088136,1,OK
2026-09-21T11:22:00Z,2812,2812,17,39.17597363328331,17.27282340865591,1,OK
2026-09-21T11:23:00Z,2810,2810,17,37.375571532879405,15.02247753484418,1,OK
2026-09-21T11:24:00Z,2807,2807,17,38.59001894227891,17.960111809349364,1,OK
2026-09-21T11:25:00Z,2798,2798,17,36.53119029876568,13.40133722995746,1,OK
2026-09-21T11:26:00Z,2767,2767,17,37.26174664800616,20.754785377111084,1,OK
2026-09-21T11:27:00Z,2777,2777,17,39.16344886756014,21.647509345030464,1,OK
2026-09-21T11:28:00Z,2808,2808,17,39.17455014548736,22.220910845164923,1,OK
2026-09-21T11:29:00Z,2813,2813,17,39.17632918884537,22.145036706862292,1,OK
2026-09-21T11:30:00Z,2811,2811,17,39.17561795125652,22.207317637874127,1,OK
2026-09-21T11:31:00Z,2808,2808,17,37.170733865248394,14.082770901367864,1,OK
2026-09-21T11:32:00Z,2811,2811,17,37.37593034214933,20.850211184531265,1,OK
2026-09-21T11:33:00Z,2812,2812,17,39.17597363328331,21.919219810429855,1,OK
2026-09-21T11:34:00Z,2811,2811,17,39.17561795125652,21.98832377988841,1,OK
2026-09-21T11:35:00Z,2812,2812,17,39.17597363328331,22.23964549098278,1,OK
2026-09-21T11:36:00Z,2811,2811,17,39.17561795125652,17.224056681041194,1,OK
2026-09-21T11:37:00Z,2808,2808,17,37.27669817443024,15.980118500343414,1,OK
2026-09-21T11:38:00Z,2812,2812,17,37.37628902277537,21.329805199863568,1,OK
2026-09-21T11:39:00Z,2809,2809,17,36.42411122020802,14.974413807247196,1,OK
2026-09-21T11:40:00Z,2812,2812,17,39.17597363328331,21.811470974197796,1,OK
2026-09-21T11:41:00Z,2809,2809,17,39.174906207448686,21.917530566262823,1,OK
2026-09-21T11:42:00Z,2812,2812,17,39.17597363328331,21.804156818600436,1,OK
2026-09-21T11:43:00Z,2785,2785,17,36.52649354233886,14.532887791722803,1,OK
2026-09-21T11:44:00Z,2777,2777,17,36.412464061282385,13.042939523052022,1,OK
2026-09-21T11:45:00Z,2792,2792,17,36.257901640977536,13.09129451480409,1,OK
2026-09-21T11:46:00Z,2803,2803,17,37.16889495316961,15.308009308735095,1,OK
2026-09-21T11:47:00Z,2812,2812,17,36.425196224850986,12.4497273100205,1,OK
2026-09-21T11:48:00Z,2812,2812,17,36.199793816689514,12.229604352634077,1,OK
2026-09-21T11:49:00Z,2810,2810,17,37.216750554332116,20.105296057565734,1,OK
2026-09-21T11:50:00Z,2811,2811,17,39.17561795125652,21.274515388858433,1,OK
2026-09-21T11:51:00Z,2809,2809,17,39.174906207448686,21.534012374748013,1,OK
2026-09-21T11:52:00Z,2810,2810,17,39.17526214267502,17.15727851790585,1,OK
2026-09-21T11:53:00Z,2811,2811,17,37.37593034214933,15.988678393427367,1,OK
2026-09-21T11:54:00Z,2813,2813,17,37.27850634672942,19.727110071414216,1,OK
2026-09-21T11:55:00Z,2809,2809,17,37.37521259487328,14.51955394556849,1,OK
2026-09-21T11:56:00Z,2811,2811,17,39.17561795125652,20.56013142325376,1,OK
2026-09-21T11:57:00Z,2810,2810,17,39.17526214267502,21.29128938747361,1,OK
2026-09-21T11:58:00Z,2811,2811,17,39.17561795125652,20.749876455093574,1,OK
2026-09-21T11:59:00Z,2812,2812,17,36.53622380552212,14.40615802666884,1,OK
2026-09-21T12:00:00Z,2801,2801,17,36.53227104139332,12.715180700252926,1,OK
2026-09-21T12:01:00Z,2772,2772,17,37.26358200715277,15.00178640953297,1,OK
2026-09-21T12:02:00Z,2781,2781,17,39.16488823449894,21.202245070500528,1,OK
2026-09-21T12:03:00Z,2809,2809,17,39.174906207448686,21.17561667528575,1,OK
2026-09-21T12:04:00Z,2812,2812,17,39.17597363328331,16.89739165826529,1,OK
2026-09-21T12:05:00Z,2811,2811,17,37.21711494745991,14.180199049586927,1,OK
2026-09-21T12:06:00Z,2812,2812,17,37.278144973486015,17.897549549971306,1,OK
2026-09-21T12:07:00Z,2811,2811,17,39.17561795125652,22.18614268045053,1,OK
2026-09-21T12:08:00Z,2811,2811,17,36.42483468730034,13.78655959252859,1,OK
2026-09-21T12:09:00Z,2811,2811,17,36.42483468730034,13.500391199584293,1,OK
2026-09-21T12:10:00Z,2811,2811,17,39.17561795125652,21.83099152366868,1,OK
2026-09-21T12:11:00Z,2810,2810,17,39.17526214267502,22.29491233901411,1,OK
2026-09-21T12:12:00Z,2810,2810,17,36.42447301911747,13.327059545223031,1,OK
2026-09-21T12:13:00Z,2813,2813,17,37.27850634672942,20.623988277306005,1,OK
2026-09-21T12:14:00Z,2809,2809,17,39.174906207448686,17.236057922891206,1,OK
2026-09-21T12:15:00Z,2812,2812,17,36.53622380552212,14.955773971610668,1,OK
2026-09-21T12:16:00Z,2811,2811,17,36.53586510799576,15.35695090108357,1,OK
2026-09-21T12:17:00Z,2812,2812,17,39.17597363328331,21.819002496931375,1,OK
2026-09-21T12:18:00Z,2786,2786,17,39.16668453461917,22.609044902542244,1,OK
2026-09-21T12:19:00Z,2774,2774,17,39.16236798111935,16.004457832619316,1,OK
2026-09-21T12:20:00Z,2789,2789,17,37.368006657140015,15.262775832267483,1,OK
2026-09-21T12:21:00Z,2808,2808,17,37.27669817443024,21.234643955144026,1,OK
2026-09-21T12:22:00Z,2813,2813,17,39.17632918884537,22.3960662503372,1,OK
2026-09-21T12:23:00Z,2813,2813,17,39.17632918884537,22.730762013174818,1,OK
2026-09-21T12:24:00Z,2812,2812,17,39.17597363328331,22.384257375911073,1,OK
2026-09-21T12:25:00Z,2811,2811,17,36.53586510799576,17.780735465874546,1,OK
2026-09-21T12:26:00Z,2808,2808,17,36.35551632487521,17.43927856713379,1,OK
2026-09-21T12:27:00Z,2808,2808,17,37.170733865248394,15.575218954366392,1,OK
2026-09-21T12:28:00Z,2810,2810,17,37.216750554332116,15.836126897660952,1,OK
2026-09-21T12:29:00Z,2812,2812,17,37.278144973486015,20.00026133642224,1,OK
2026-09-21T12:30:00Z,2812,2812,17,39.17597363328331,21.933608981172,1,OK
2026-09-21T12:31:00Z,2812,2812,17,39.17597363328331,21.17935395359404,1,OK
2026-09-21T12:32:00Z,2810,2810,17,39.17526214267502,21.840102031901537,1,OK
2026-09-21T12:33:00Z,2812,2812,17,39.17597363328331,21.96331960754488,1,OK
2026-09-21T12:34:00Z,2811,2811,17,39.17561795125652,21.712239535678833,1,OK
2026-09-21T12:35:00Z,2802,2802,17,39.17241110722184,21.97213596270361,1,OK
2026-09-21T12:36:00Z,2769,2769,17,39.16056390340083,21.979623161672215,1,OK
2026-09-21T12:37:00Z,2784,2784,17,39.165966401727964,22.258285884853414,1,OK
2026-09-21T12:38:00Z,2808,2808,17,39.17455014548736,22.039537704967636,1,OK
2026-09-21T12:39:00Z,2809,2809,17,39.174906207448686,17.139368224373914,1,OK
2026-09-21T12:40:00Z,2808,2808,17,37.37485352803858,14.432570981485041,1,OK
2026-09-21T12:41:00Z,2810,2810,17,39.17526214267502,22.243664764491175,1,OK
2026-09-21T12:42:00Z,2809,2809,17,39.174906207448686,22.29131589211957,1,OK
2026-09-21T12:43:00Z,2813,2813,17,36.35733854460836,12.823357291806165,1,OK
2026-09-21T12:44:00Z,2812,2812,17,38.59179861889807,17.056628842883928,1,OK
2026-09-21T12:45:00Z,2812,2812,17,39.17597363328331,21.66696735931824,1,OK
2026-09-21T12:46:00Z,2813,2813,17,37.37664757484968,15.10422886102353,1,OK
2026-09-21T12:47:00Z,2810,2810,17,37.375571532879405,19.340212602816393,1,OK
2026-09-21T12:48:00Z,2810,2810,17,39.17526214267502,20.202695664033172,1,OK
2026-09-21T12:49:00Z,2813,2813,17,39.17632918884537,20.386964941125413,1,OK
2026-09-21T12:50:00Z,2811,2811,17,36.30595575673699,11.710759029510218,1,OK
2026-09-21T12:51:00Z,2805,2805,17,36.53371021782906,11.592489754220411,1,OK
2026-09-21T12:52:00Z,2810,2810,17,38.59108712827515,13.073465864454127,1,OK
2026-09-21T12:53:00Z,2789,2789,17,37.12684526737425,15.7664868388465,1,OK
2026-09-21T12:54:00Z,2774,2774,17,39.16236798111935,19.523078119649416,1,OK
2026-09-21T12:55:00Z,2788,2788,17,36.2974764807092,14.379593593867598,1,OK
2026-09-21T12:56:00Z,2811,2811,17,39.17561795125652,19.14251023869622,1,OK
2026-09-21T12:57:00Z,2812,2812,17,39.17597363328331,19.575457504752748,1,OK
2026-09-21T12:58:00Z,2810,2810,17,39.17526214267502,20.245349216416464,1,OK
2026-09-21T12:59:00Z,2813,2813,17,39.17632918884537,20.280948370742607,1,OK
2026-09-21T13:00:00Z,2814,2814,17,39.17668461803261,20.19530062993144,1,OK
2026-09-21T13:01:00Z,2810,2810,17,39.17526214267502,20.094979322640608,1,OK
2026-09-21T13:02:00Z,2813,2813,17,39.17632918884537,20.1403387944902,1,OK
2026-09-21T13:03:00Z,2812,2812,17,39.17597363328331,16.831501148950533,1,OK
2026-09-21T13:04:00Z,2811,2811,17,36.23006916211139,14.24878349048508,1,OK
2026-09-21T13:05:00Z,2810,2810,17,37.27742183536321,18.719835609945182,1,OK
2026-09-21T13:06:00Z,2813,2813,17,39.17632918884537,19.568129872407827,1,OK
2026-09-21T13:07:00Z,2806,2806,17,39.1738376409985,19.83606607950741,1,OK
2026-09-21T13:08:00Z,2812,2812,17,38.59179861889807,14.004744578551486,1,OK
2026-09-21T13:09:00Z,2809,2809,17,36.42411122020802,11.50490121837565,1,OK
2026-09-21T13:10:00Z,2805,2805,17,36.42266271541299,13.479197425680871,1,OK
2026-09-21T13:11:00Z,2770,2770,17,37.20206504031774,20.408356305667965,1,OK
2026-09-21T13:12:00Z,2778,2778,17,39.16380890357055,18.30566194991448,1,OK
2026-09-21T13:13:00Z,2807,2807,17,36.534429030407544,14.771938861514256,1,OK
2026-09-21T13:14:00Z,2811,2811,17,36.30595575673699,13.860818302325889,1,OK
2026-09-21T13:15:00Z,2811,2811,17,37.37593034214933,20.86156702726526,1,OK
2026-09-21T13:16:00Z,2809,2809,17,36.53514732688298,16.3130685660925,1,OK
2026-09-21T13:17:00Z,2813,2813,17,39.17632918884537,18.590700965908006,1,OK
2026-09-21T13:18:00Z,2813,2813,17,39.17632918884537,22.413238112578917,1,OK
2026-09-21T13:19:00Z,2812,2812,17,39.17597363328331,22.39292883079626,1,OK
2026-09-21T13:20:00Z,2812,2812,17,39.17597363328331,22.268139552498507,1,OK
2026-09-21T13:21:00Z,2809,2809,17,39.174906207448686,22.165118661433173,1,OK
2026-09-21T13:22:00Z,2810,2810,17,37.375571532879405,17.44634077854017,1,OK
2026-09-21T13:23:00Z,2811,2811,17,39.17561795125652,17.23355467270764,1,OK
2026-09-21T13:24:00Z,2811,2811,17,37.277783469728696,20.803204480123156,1,OK
2026-09-21T13:25:00Z,2812,2812,17,36.425196224850986,14.47067157454189,1,OK
2026-09-21T13:26:00Z,2807,2807,17,36.263472403588885,12.91537622439224,1,OK
2026-09-21T13:27:00Z,2812,2812,17,36.53622380552212,14.824462551591713,1,OK
2026-09-21T13:28:00Z,2786,2786,17,37.268703181280436,21.052388971382292,1,OK
2026-09-21T13:29:00Z,2780,2780,17,39.16452858694676,22.258345032093633,1,OK
2026-09-21T13:30:00Z,2789,2789,17,39.16776076791552,17.085843969653133,1,OK
2026-09-21T13:31:00Z,2811,2811,17,39.17561795125652,17.089992020943566,1,OK
2026-09-21T13:32:00Z,2807,2807,17,38.59001894227891,13.858035435332127,1,OK
2026-09-21T13:33:00Z,2812,2812,17,39.17597363328331,22.68201884610801,1,OK
2026-09-21T13:34:00Z,2812,2812,17,37.21747920806251,15.688427503605572,1,OK
2026-09-21T13:35:00Z,2813,2813,17,37.37664757484968,18.312824085225614,1,OK
2026-09-21T13:36:00Z,2811,2811,17,37.37593034214933,21.046054315253517,1,OK
2026-09-21T13:37:00Z,2813,2813,17,39.17632918884537,17.91534237131869,1,OK
2026-09-21T13:38:00Z,2810,2810,17,39.17526214267502,22.28305719201528,1,OK
2026-09-21T13:39:00Z,2814,2814,17,37.37700599846437,16.645706521163227,1,OK
2026-09-21T13:40:00Z,2812,2812,17,36.53622380552212,16.826275927381374,1,OK
2026-09-21T13:41:00Z,2809,2809,17,37.37521259487328,16.625955805074977,1,OK
2026-09-21T13:42:00Z,2813,2813,17,39.17632918884537,21.558004629685648,1,OK
2026-09-21T13:43:00Z,2808,2808,17,37.37485352803858,14.868384867501469,1,OK
2026-09-21T13:44:00Z,2813,2813,17,39.17632918884537,14.679471613474298,1,OK
2026-09-21T13:45:00Z,2802,2802,17,39.17241110722184,17.071700817951903,1,OK
2026-09-21T13:46:00Z,2765,2765,17,37.200214118356264,16.036143250240883,1,OK
2026-09-21T13:47:00Z,2785,2785,17,39.16632553263791,21.89621695401827,1,OK
2026-09-21T13:48:00Z,2808,2808,17,39.17455014548736,21.8922579807278,1,OK
2026-09-21T13:49:00Z,2813,2813,17,37.27850634672942,16.392055210709902,1,OK
2026-09-21T13:50:00Z,2813,2813,17,37.21784333623615,17.599729175531664,1,OK
2026-09-21T13:51:00Z,2807,2807,17,39.17419395670076,21.95411216368664,1,OK
2026-09-21T13:52:00Z,2812,2812,17,36.425196224850986,16.14577610170501,1,OK
2026-09-21T13:53:00Z,2812,2812,17,39.17597363328331,22.38901163539485,1,OK
