cycle,session_index,session_id,start_utc,end_utc,start_epoch,end_epoch,offered_packets,sent_packets,failed_packets,returncode,accounting_ok,tcpreplay_duration_s,suricata_alerts,rf_reference_positive,provenance_tier,source_timestamp_correlated,min_alert_rf_delta_s,incident_key
2,9,E1_TEST_DOS_01,2026-09-21T10:33:17.449467Z,2026-09-21T10:33:54.515639Z,1789986797.449467,1789986834.515639,2659023,2659023,0,0,1,36.98,8640,65537,HYBRID_CORRELATED,1,25.386704,E7:002:E1_TEST_DOS_01
2,10,E1_TEST_DOS_02,2026-09-21T10:34:00.699985Z,2026-09-21T10:34:37.680687Z,1789986840.699985,1789986877.680687,2648088,2648088,0,0,1,36.91,60710,65537,HYBRID_CORRELATED,1,1e-06,E7:002:E1_TEST_DOS_02
2,11,E1_TEST_DOS_03,2026-09-21T10:34:55.219541Z,2026-09-21T10:35:32.077812Z,1789986895.219541,1789986932.077812,2600786,2600786,0,0,1,36.79,95806,65537,HYBRID_CORRELATED,1,0.0,E7:002:E1_TEST_DOS_03
2,12,E1_TEST_EXPLOIT_01,2026-09-21T10:35:56.966148Z,2026-09-21T10:36:11.077479Z,1789986956.966148,1789986971.077479,23669,23666,3,0,1,14.02,0,2318,RF_ONLY_REVIEW,0,,E7:002:E1_TEST_EXPLOIT_01
2,13,E1_TEST_EXPLOIT_02,2026-09-21T10:36:11.659766Z,2026-09-21T10:36:21.222039Z,1789986971.659766,1789986981.222039,20747,20747,0,0,1,9.46,0,2072,RF_ONLY_REVIEW,0,,E7:002:E1_TEST_EXPLOIT_02
2,14,E1_TEST_EXPLOIT_03,2026-09-21T10:36:21.794271Z,2026-09-21T10:48:35.578897Z,1789986981.794271,1789987715.578897,71525,71523,2,0,1,733.71,0,21,RF_ONLY_REVIEW,0,,E7:002:E1_TEST_EXPLOIT_03
3,0,E1_TEST_NORMAL_01,2026-09-21T10:48:36.524894Z,2026-09-21T10:49:06.239900Z,1789987716.524894,1789987746.239900,333,333,0,0,1,29.62,0,31,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_NORMAL_01
3,1,E1_TEST_NORMAL_02,2026-09-21T10:49:06.741668Z,2026-09-21T10:49:36.495846Z,1789987746.741668,1789987776.495846,333,333,0,0,1,29.68,0,31,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_NORMAL_02
3,2,E1_TEST_NORMAL_03,2026-09-21T10:49:36.997723Z,2026-09-21T10:50:07.008940Z,1789987776.997723,1789987807.008940,336,336,0,0,1,29.93,0,31,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_NORMAL_03
3,3,E1_TEST_SCAN_01,2026-09-21T10:50:07.510862Z,2026-09-21T10:50:08.217933Z,1789987807.510862,1789987808.217933,1729,1729,0,0,1,0.624851,0,845,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_SCAN_01
3,4,E1_TEST_SCAN_02,2026-09-21T10:50:08.721242Z,2026-09-21T10:50:09.350963Z,1789987808.721242,1789987809.350963,1715,1715,0,0,1,0.558799,0,837,RF_ONLY_REVIEW,0,,E7:003:E1_TEST_SCAN_02
