rate,stage,metric,n_runs,source,point_ms,ci_lo_ms,ci_hi_ms
PP_98.75x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_98.88x,feature_extraction,P50,3,phase_b_offline,0.027,0.026,0.027
PP_98.88x,feature_extraction,P95,3,phase_b_offline,0.045,0.043,0.047
PP_98.88x,feature_extraction,P99,3,phase_b_offline,0.054,0.054,0.055
PP_98.88x,rf_predict,P50,3,phase_b_offline,21.166,21.164,21.172
PP_98.88x,rf_predict,P95,3,phase_b_offline,21.363,21.354,21.37
PP_98.88x,rf_predict,P99,3,phase_b_offline,21.525,21.518,21.536
PP_98.88x,detector_total,P50,3,phase_b_offline,21.196,21.193,21.201
PP_98.88x,detector_total,P95,3,phase_b_offline,21.395,21.386,21.401
PP_98.88x,detector_total,P99,3,phase_b_offline,21.56,21.558,21.567
PP_98.88x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_98.88x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_98.88x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_98.88x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_98.88x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_98.88x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_98.88x_FINAL,feature_extraction,P50,5,phase_b_offline,0.027,0.027,0.027
PP_98.88x_FINAL,feature_extraction,P95,5,phase_b_offline,0.043,0.041,0.045
PP_98.88x_FINAL,feature_extraction,P99,5,phase_b_offline,0.054,0.053,0.054
PP_98.88x_FINAL,rf_predict,P50,5,phase_b_offline,21.163,21.158,21.168
PP_98.88x_FINAL,rf_predict,P95,5,phase_b_offline,21.361,21.355,21.367
PP_98.88x_FINAL,rf_predict,P99,5,phase_b_offline,21.531,21.512,21.541
PP_98.88x_FINAL,detector_total,P50,5,phase_b_offline,21.192,21.187,21.197
PP_98.88x_FINAL,detector_total,P95,5,phase_b_offline,21.392,21.386,21.397
PP_98.88x_FINAL,detector_total,P99,5,phase_b_offline,21.567,21.549,21.578
PP_98.88x_FINAL,pa_feature_extraction,P50,5,phase_a_live,NA,NA,NA
PP_98.88x_FINAL,pa_feature_extraction,P95,5,phase_a_live,NA,NA,NA
PP_98.88x_FINAL,pa_feature_extraction,P99,5,phase_a_live,NA,NA,NA
PP_98.88x_FINAL,pa_rf_predict,P50,5,phase_a_live,NA,NA,NA
PP_98.88x_FINAL,pa_rf_predict,P95,5,phase_a_live,NA,NA,NA
PP_98.88x_FINAL,pa_rf_predict,P99,5,phase_a_live,NA,NA,NA
PP_99.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.028
PP_99.0x,feature_extraction,P95,3,phase_b_offline,0.044,0.043,0.046
PP_99.0x,feature_extraction,P99,3,phase_b_offline,0.055,0.054,0.056
PP_99.0x,rf_predict,P50,3,phase_b_offline,21.163,21.162,21.165
PP_99.0x,rf_predict,P95,3,phase_b_offline,21.353,21.351,21.356
PP_99.0x,rf_predict,P99,3,phase_b_offline,21.525,21.512,21.537
PP_99.0x,detector_total,P50,3,phase_b_offline,21.192,21.191,21.194
PP_99.0x,detector_total,P95,3,phase_b_offline,21.385,21.382,21.39
PP_99.0x,detector_total,P99,3,phase_b_offline,21.566,21.544,21.573
PP_99.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_99.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_99.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_99.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_99.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_99.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
