rate,n_measured,mean_replay_s,mean_packet_throughput_pps,min_achieved_rate_ratio,sender_drop_ratio,capture_drop_ratio,suricata_drop_ratio,phase_a_mean_flows,phase_b_mean_flows,phase_a_to_phase_b_descriptive_ratio,downstream_completion_ratio,queue_peak_min,queue_peak_max,queue_active_at_stop_min,queue_active_at_stop_max,queue_drained_all_runs,cpu_mean_pct_avg,cpu_peak_pct_max,ram_mean_mb_avg,ram_peak_mb_max,detector_total_p50_ms,detector_total_p95_ms,detector_total_p99_ms,llm_wait_p50_ms_completed_only,llm_wait_p95_ms_completed_only,llm_wait_p99_ms_completed_only,e2e_flow_to_audit_p50_ms_completed_only,e2e_flow_to_audit_p95_ms_completed_only,e2e_flow_to_audit_p99_ms_completed_only
0.5x,5,230.818,219.3,0.999198,5.9e-05,0.0,0.0,5126.0,6972.0,0.7352,0.0204,5052,5055,5018,5021,False,27.0,61.9,8144.0,9067.0,21.196,21.398,21.576,9130.866,15060.773,16585.719,115761.216,280708.049,298112.072
1.0x,5,115.508,438.2,0.998024,5.9e-05,0.0,0.0,3693.6,6927.8,0.5332,0.0217,3617,3662,3579,3623,False,26.1,61.6,8128.0,9086.0,21.194,21.395,21.576,9117.374,10257.024,17435.155,143456.438,275793.235,288974.491
2.0x,5,57.81,875.6,0.997328,5.9e-05,0.0,0.0,86.0,6783.0,0.0127,0.8116,77,78,15,17,False,23.7,56.4,8116.0,9041.0,21.195,21.397,21.579,8848.111,15288.535,16128.744,129167.983,263971.017,274479.11
